/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
305 878.6278694377429 0.109 -31.046 0.0
306 1.6010370792217237 0.195 -3.477 0.0
307 22.37969746189221 0.225 5.228 0.0
308 849.3046106971376 0.288 -7.225 0.0
309 237.43363969908498 0.092 -0.228 0.0
310 885.6117552530222 0.239 -53.623 0.0
311 873.0220416050299 0.221 3.716 0.0
312 877.6859876963415 0.048 -28.424 0.0
313 874.6827592803054 0.077 -0.598 0.0
314 865.518282991023 0.235 -13.744 0.0
315 864.2153895793483 0.058 1.505 0.0
316 879.140638300224 0.403 -33.048 0.0
317 876.4969553483143 0.132 -0.617 0.0
318 245.71314217749682 0.181 -35.341 0.0
319 869.0813544363928 0.017 2.604 0.0
320 872.8029112956417 0.045 -6.283 0.0
321 896.8465754320086 0.388 2.71 0.0
322 859.2903560315965 0.046 -6.985 0.0
323 882.2345794670291 0.106 0.053 0.0
324 884.2785787343851 0.323 -6.233 0.0
325 865.0169952067531 0.223 -7.447 0.0
326 846.7752392600099 0.144 -4.058 0.0
327 872.8778348644067 0.231 1.717 0.0
328 850.7906489744113 0.221 -37.657 0.0
329 868.5973842084442 0.043 -0.235 0.0
330 865.1799393774531 0.12 -15.959 0.0
331 1.6732362239739493 0.131 -0.831 0.0
332 851.7813506476926 0.095 -16.959 0.0
333 132.09608207534848 0.377 0.142 0.0
334 72.39578600872088 0.0 -39.605 0.0
335 872.3045147556916 0.028 -0.672 0.0
336 58.47777232114669 0.049 2.103 0.0
337 846.5173416243683 0.243 -4.952 0.0
338 150.5591287880872 0.115 -5.527 0.0
